VendorID,RateCodeID,Passenger_count,Trip_distance,Fare_amount,MTA_tax,Tip_amount,Tolls_amount,improvement_surcharge,Total_amount,Payment_type,Trip_type 
2,1,1,0.68,5.5,0.5,1.58,0,0.3,7.88,1,1
2,1,2,1.1,6.5,0.5,1.46,0,0.3,8.76,1,1
2,1,1,2.84,10,0.5,0,0,0.3,10.8,2,1
2,1,1,2.66,15.5,0.5,0,0,0.3,16.3,1,1
2,5,1,0,10,0,0,0,0,10,1,2
2,1,1,0.84,4.5,0.5,0,0,0.3,5.3,2,1
2,5,1,12.52,18.5,0,0,0,0,18.5,2,2
2,1,1,1,5.5,0.5,0,0,0.3,6.3,2,1
2,1,5,3.5,19.5,0.5,4.06,0,0.3,24.36,1,1
2,1,1,7.08,25.5,0.5,5.26,0,0.3,31.56,1,1
2,1,1,1.4,7.5,0.5,1.66,0,0.3,9.96,1,1
2,1,1,1.46,9,0.5,0,0,0.3,9.8,2,1
2,1,1,3.55,21,0.5,0,0,0.3,21.8,2,1
2,1,1,1.91,11,0.5,3.54,0,0.3,15.34,1,1
2,1,1,8.31,26,0.5,0,0,0.3,26.8,2,1
2,1,1,3.38,14,0.5,2.96,0,0.3,17.76,1,1
2,1,1,2.74,12,0.5,2.56,0,0.3,15.36,1,1
2,1,1,2.11,9.5,0.5,1.7,0,0.3,12,1,1
2,1,1,0.88,6,0.5,1.36,0,0.3,8.16,1,1
2,1,1,3.54,14,0.5,0,5.54,0.3,20.34,2,1
2,1,5,2.22,11,0.5,2.95,0,0.3,14.75,1,1
2,1,1,4.73,22.5,0.5,4,0,0.3,27.3,1,1
2,1,1,2.67,12,0.5,0,0,0.3,12.8,1,1
2,1,1,1.14,5.5,0.5,0,0,0.3,6.3,2,1
2,1,2,0.89,5,0.5,2,0,0.3,7.8,1,1
2,1,1,0,2.5,0.5,0,0,0.3,3.3,2,1
2,1,1,1.49,8.5,0.5,1.86,0,0.3,11.16,1,1
2,1,1,0.75,5.5,0.5,0,0,0.3,6.3,2,1
2,1,1,2.28,11,0.5,0,0,0.3,11.8,1,1
2,1,1,0.8,4.5,0.5,0,0,0.3,5.3,2,1
2,1,1,2.79,11,0.5,0,0,0.3,11.8,2,1
2,1,1,7.63,21.5,0.5,0,0,0.3,22.3,2,1
2,1,1,0.47,14,0.5,2,0,0.3,16.8,1,1
2,1,1,1.8,9,0.5,2.45,0,0.3,12.25,1,1
2,1,1,4.05,15,0.5,4.27,5.54,0.3,25.61,1,1
2,1,1,1.89,10,0.5,0,0,0.3,10.8,2,1
2,1,1,0.74,6.5,0.5,0,0,0.3,7.3,2,1
2,1,1,1.41,7.5,0.5,0,0,0.3,8.3,2,1
2,1,1,2.3,13,0.5,1.2,0,0.3,15,1,1
2,1,1,1.31,7.5,0.5,2.08,0,0.3,10.38,1,1
2,1,1,1.46,7.5,0.5,1.66,0,0.3,9.96,1,1
2,1,1,1.09,6.5,0.5,1.46,0,0.3,8.76,1,1
2,1,1,7.23,24,0.5,4.96,0,0.3,29.76,1,1
2,1,1,3.07,14,0.5,1,0,0.3,15.8,1,1
2,1,1,1.01,5.5,0.5,0,0,0.3,6.3,1,1
2,1,1,0.99,6,0.5,0,0,0.3,6.8,2,1
2,1,1,1.32,7,0.5,1.95,0,0.3,9.75,1,1
2,1,1,0.43,4.5,0.5,0,0,0.3,5.3,2,1
2,1,1,1.14,7,0.5,1,0,0.3,8.8,1,1
2,1,1,0.97,5.5,0.5,0,0,0.3,6.3,2,1
2,1,1,2.14,11.5,0.5,0,0,0.3,12.3,2,1
2,1,1,1.53,10,0.5,0,0,0.3,10.8,2,1
2,1,1,0.61,4,0.5,0,0,0.3,4.8,2,1
2,1,1,0.38,4,0.5,3,0,0.3,7.8,1,1
2,1,1,1.77,7.5,0.5,0,0,0.3,8.3,2,1
2,1,2,1.63,8.5,0.5,0,0,0.3,9.3,2,1
2,1,6,0.8,5,0.5,1.2,0,0.3,7,1,1
2,1,1,6.2,21.5,0.5,3,0,0.3,25.3,1,1
2,1,1,8.95,28.5,0.5,2,0,0.3,31.3,1,1
2,5,1,0,15,0,0,0,0,15,1,2
2,1,1,1.48,6.5,0.5,2.19,0,0.3,9.49,1,1
2,1,1,3,16,0.5,3.36,0,0.3,20.16,1,1
2,1,1,1.35,6.5,0.5,1.25,0,0.3,8.55,1,1
2,1,1,1.37,8,0.5,0,0,0.3,8.8,2,1
2,1,1,6.89,22.5,0.5,0,0,0.3,23.3,2,1
2,1,1,1.48,7.5,0.5,0,0,0.3,8.3,2,1
2,1,1,1.35,8.5,0.5,0,0,0.3,9.3,2,1
2,1,1,1.37,9.5,0.5,3.09,0,0.3,13.39,1,1
2,1,1,5.67,22.5,0.5,4.66,0,0.3,27.96,1,1
2,1,1,3.07,11,0.5,0,0,0.3,11.8,2,1
2,5,2,7.78,15,0,0,0,0,15,2,2
2,1,1,0.62,4.5,0.5,0,0,0.3,5.3,2,1
2,1,1,1.54,7.5,0.5,1.24,0,0.3,9.54,1,1
2,1,1,3.16,17,0.5,3.56,0,0.3,21.36,1,1
2,1,5,4.01,18.5,0.5,3.86,0,0.3,23.16,1,1
2,1,1,0.6,5.5,0.5,0,0,0.3,6.3,2,1
2,1,1,1,6.5,0.5,1.46,0,0.3,8.76,1,1
2,1,1,1.62,7.5,0.5,1.66,0,0.3,9.96,1,1
2,1,1,2.71,12.5,0.5,2,0,0.3,15.3,1,1
2,1,1,1.6,8.5,0.5,3.23,0,0.3,12.53,1,1
2,1,1,1.01,5,0.5,1.45,0,0.3,7.25,1,1
2,1,1,2.83,12.5,0.5,2.66,0,0.3,15.96,1,1
2,1,1,1.65,8,0.5,2,0,0.3,10.8,1,1
2,1,1,0.63,5,0.5,1.74,0,0.3,7.54,1,1
2,1,1,1.59,9,0.5,2.45,0,0.3,12.25,1,1
2,1,1,1.16,7,0.5,0,0,0.3,7.8,2,1
2,1,1,0.8,5.5,0.5,0.5,0,0.3,6.8,1,1
2,1,1,4.73,18,0.5,2,0,0.3,20.8,1,1
2,1,1,3.94,21,0.5,4.36,0,0.3,26.16,1,1
2,1,1,3.57,13.5,0.5,0,0,0.3,14.3,2,1
2,1,1,3.47,13.5,0.5,2.86,0,0.3,17.16,1,1
2,1,1,1.23,6.5,0.5,0,0,0.3,7.3,2,1
2,1,1,0.71,5.5,0.5,0,0,0.3,6.3,2,1
2,5,1,0.04,13,0,0,0,0,13,1,2
2,1,1,0.67,4.5,0.5,0,0,0.3,5.3,2,1
2,1,1,3.27,17,0.5,3.56,0,0.3,21.36,1,1
2,1,1,4.6,16,0.5,0,0,0.3,16.8,2,1
2,1,1,0.73,4.5,0.5,0,0,0.3,5.3,2,1
2,1,6,3.31,14,0.5,1.5,0,0.3,16.3,1,1
2,1,1,2.64,15,0.5,1.5,0,0.3,17.3,1,1
2,1,1,1.6,8,0.5,0,0,0.3,8.8,2,1
2,1,1,0.91,5,0.5,0,0,0.3,5.8,2,1
2,1,1,2.54,16.5,0.5,3.46,0,0.3,20.76,1,1
2,1,2,3.98,17,0.5,1,0,0.3,18.8,1,1
2,1,5,1.43,8.5,0.5,1.86,0,0.3,11.16,1,1
2,1,2,2.85,14,0.5,2.96,0,0.3,17.76,1,1
2,1,1,0.46,4,0.5,0,0,0.3,4.8,2,1
2,1,1,1.79,8.5,0.5,1.86,0,0.3,11.16,1,1
2,1,1,0.71,4.5,0.5,0,0,0.3,5.3,2,1
2,5,1,0,9,0,0,0,0,9,1,2
2,1,1,0.69,5.5,0.5,0,0,0.3,6.3,2,1
2,1,1,1.27,6,0.5,0,0,0.3,6.8,2,1
2,1,1,1.17,7.5,0.5,0,0,0.3,8.3,2,1
2,1,1,0.29,3.5,0.5,0,0,0.3,4.3,2,1
2,1,1,1.61,8,0.5,0,0,0.3,8.8,2,1
2,1,1,2.73,11.5,0.5,0,0,0.3,12.3,2,1
2,1,1,1.1,6.5,0.5,1.82,0,0.3,9.12,1,1
2,1,1,1.16,6.5,0.5,0,0,0.3,7.3,2,1
2,1,1,2.16,10.5,0.5,0,0,0.3,11.3,2,1
2,1,1,5.37,26,0.5,5.36,0,0.3,32.16,1,1
2,2,1,18.9,52,0.5,0,5.54,0.3,58.34,2,1
2,1,5,2.95,11.5,0.5,3.69,0,0.3,15.99,1,1
2,1,5,7.58,22.5,0.5,4.66,0,0.3,27.96,1,1
2,5,1,0,15,0,0,0,0,15,1,2
2,1,1,3.43,16.5,0.5,0,0,0.3,17.3,2,1
2,1,1,3.21,17,0.5,3,0,0.3,20.8,1,1
2,1,1,6.95,24,0.5,6.07,5.54,0.3,36.41,1,1
2,1,1,3.38,14.5,0.5,0,0,0.3,15.3,2,1
2,1,1,3.33,12.5,0.5,1.5,0,0.3,14.8,1,1
2,1,1,6.5,20,0.5,0,0,0.3,20.8,2,1
2,1,1,1.22,7.5,0.5,1.66,0,0.3,9.96,1,1
2,1,1,4.26,22.5,0.5,0,0,0.3,23.3,2,1
2,1,1,1.73,8.5,0.5,2.79,0,0.3,12.09,1,1
2,1,1,0.51,3.5,0.5,0,0,0.3,4.3,2,1
2,5,1,7.84,30,0,120,0,0,150,1,2
2,1,1,5.52,21.5,0.5,0,0,0.3,22.3,2,1
2,1,1,2.22,15,0.5,0,0,0.3,15.8,2,1
2,1,1,3.8,16.5,0.5,3.5,5.54,0.3,26.34,1,1
2,1,1,2.02,9,0.5,0,0,0.3,9.8,2,1
2,1,1,1.29,7,0.5,0,0,0.3,7.8,2,1
2,1,4,2.34,10.5,0.5,0,0,0.3,11.3,2,1
2,1,1,1.82,8,0.5,1.76,0,0.3,10.56,1,1
2,1,1,5.15,19.5,0.5,0,0,0.3,20.3,1,1
2,1,1,0.7,7,0.5,1,0,0.3,8.8,1,1
2,1,1,1.21,8.5,0.5,2.79,0,0.3,12.09,1,1
2,1,2,0.22,3,0.5,6,0,0.3,9.8,1,1
2,1,3,1.87,8.5,0.5,0,0,0.3,9.3,2,1
2,1,1,0.67,4.5,0.5,1.06,0,0.3,6.36,1,1
2,1,6,1.43,11,0.5,2.95,0,0.3,14.75,1,1
2,1,5,1.47,8,0.5,1.76,0,0.3,10.56,1,1
2,1,1,0.02,2.5,0.5,0,0,0.3,3.3,2,1
2,1,1,0.68,5,0.5,0,0,0.3,5.8,1,1
2,1,5,8.04,24,0.5,0,0,0.3,24.8,2,1
2,1,1,0.75,5,0.5,0,0,0.3,5.8,2,1
2,1,1,1.46,7.5,0.5,1.66,0,0.3,9.96,1,1
2,1,1,3.89,14.5,0.5,3.06,0,0.3,18.36,1,1
2,1,1,4.78,23.5,0.5,6.08,0,0.3,30.38,1,1
2,1,1,1.97,9.5,0.5,0,0,0.3,10.3,2,1
2,1,1,8.3,28.5,0.5,3,0,0.3,32.3,1,1
2,1,1,2.58,19.5,0.5,3,0,0.3,23.3,1,1
